"filename", "language", "Dart", "YAML", "comment", "blank", "total"
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\database\app_database.dart", "Dart", -200, 0, -42, -48, -290
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\routing\app_router.dart", "Dart", 4, 0, 0, 1, 5
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\data\datasources\auth_remote_datasource.dart", "Dart", 11, 0, 4, 3, 18
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\data\repositories\auth_repository_impl.dart", "Dart", 11, 0, 0, 1, 12
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\domain\repositories\auth_repository.dart", "Dart", 1, 0, 2, 1, 4
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\onboarding_screen.dart", "Dart", 182, 0, 9, 21, 212
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\sign_in_screen.dart", "Dart", 108, 0, 2, 6, 116
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\sign_up_screen.dart", "Dart", 157, 0, 6, 7, 170
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\splash_screen.dart", "Dart", 17, 0, 1, 5, 23
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\welcome_screen.dart", "Dart", 62, 0, 2, 1, 65
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\datasources\habit_local_datasource.dart", "Dart", -75, 0, -35, -24, -134
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\models\habit_log_model.dart", "Dart", -33, 0, -2, -2, -37
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\models\habit_model.dart", "Dart", -41, 0, -2, -4, -47
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\repositories\habit_repository_impl.dart", "Dart", -41, 0, -29, -4, -74
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\providers\habits_provider.dart", "Dart", -12, 0, -3, -3, -18
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\screens\create_habit_screen.dart", "Dart", 363, 0, 8, 20, 391
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\screens\today_screen.dart", "Dart", 236, 0, 14, 21, 271
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\daily_progress_card.dart", "Dart", 185, 0, 10, 10, 205
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\habit_card.dart", "Dart", 188, 0, 7, 12, 207
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\pubspec.yaml", "YAML", 0, -6, 0, 0, -6
"Total", "-", 1123, -6, -48, 24, 1093
