"filename", "language", "Markdown", "JSON", "Dart", "HTML", "Properties", "Gradle", "XML", "comment", "blank", "total"
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\BACKUP_INFO.md", "Markdown", 131, 0, 0, 0, 0, 0, 0, 0, 40, 171
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\PART3_IMPLEMENTATION.md", "Markdown", 207, 0, 0, 0, 0, 0, 0, 0, 54, 261
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\WEB_DEPLOYMENT.md", "Markdown", 160, 0, 0, 0, 0, 0, 0, 0, 52, 212
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\google-services.json", "JSON", 0, 55, 0, 0, 0, 0, 0, 0, 0, 55
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\res\drawable\app_icon.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\key.properties", "Properties", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\firebase.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 14
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\advanced_statistics_service.dart", "Dart", 0, 0, -270, 0, 0, 0, 0, -24, -56, -350
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\connectivity_service.dart", "Dart", 0, 0, -4, 0, 0, 0, 0, 0, 0, -4
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\export_import_service.dart", "Dart", 0, 0, -221, 0, 0, 0, 0, -27, -44, -292
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\notification_service.dart", "Dart", 0, 0, -2, 0, 0, 0, 0, 0, 0, -2
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\push_notification_service.dart", "Dart", 0, 0, -2, 0, 0, 0, 0, 0, 0, -2
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\sync_service.dart", "Dart", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\providers\auth_provider.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 1, 0, 5
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\welcome_screen.dart", "Dart", 0, 0, 27, 0, 0, 0, 0, 3, 2, 32
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\data\models\goal_model.dart", "Dart", 0, 0, -123, 0, 0, 0, 0, -5, -9, -137
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\data\repositories\goal_repository_impl.dart", "Dart", 0, 0, -184, 0, 0, 0, 0, -3, -30, -217
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\domain\entities\goal.dart", "Dart", 0, 0, -92, 0, 0, 0, 0, -6, -7, -105
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\domain\repositories\goal_repository.dart", "Dart", 0, 0, -14, 0, 0, 0, 0, -11, -10, -35
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\presentation\providers\goal_providers.dart", "Dart", 0, 0, -35, 0, 0, 0, 0, -10, -11, -56
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\presentation\screens\goal_detail_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\presentation\screens\goals_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\presentation\widgets\add_goal_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\presentation\widgets\goal_card.dart", "Dart", 0, 0, -211, 0, 0, 0, 0, -3, -12, -226
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\screens\habit_detail_screen.dart", "Dart", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\screens\statistics_screen.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 1, 2, 13
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\monthly_line_chart_card.dart", "Dart", 0, 0, -4, 0, 0, 0, 0, 0, 2, -2
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\weekly_bar_chart_card.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, -1, -3, 21
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\firebase_options.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 2, 7, 74
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\web\index.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 1, 3, 24
"Total", "-", 498, 69, -1033, 20, 4, 2, 14, -82, -15, -523
