"filename", "language", "Dart", "Markdown", "JSON", "YAML", "Firebase Rules", "HTML", "Properties", "Gradle", "XML", "comment", "blank", "total"
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\ASSETS_GUIDE.md", "Markdown", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 59, 219
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\BACKUP_INFO.md", "Markdown", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 40, 171
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\BUILD_IMPROVEMENTS.md", "Markdown", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 49, 191
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\FIREBASE_RULES.md", "Markdown", 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 55, 264
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\PART3_IMPLEMENTATION.md", "Markdown", 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 54, 261
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\README.md", "Markdown", 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 53, 249
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\WEB_DEPLOYMENT.md", "Markdown", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 52, 212
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\analysis_options.yaml", "YAML", 0, 0, 0, 132, 0, 0, 0, 0, 0, 27, 5, 164
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 12, 84
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\google-services.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 55
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 35, 6, 5, 46
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\res\drawable\app_icon.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
