"filename", "language", "PowerShell", "Markdown", "Dart", "JSON", "Firebase Rules", "comment", "blank", "total"
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\ASSETS_GUIDE.md", "Markdown", 0, -160, 0, 0, 0, 0, -59, -219
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\BACKUP_INFO.md", "Markdown", 0, -131, 0, 0, 0, 0, -40, -171
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\BUILD_IMPROVEMENTS.md", "Markdown", 0, -142, 0, 0, 0, 0, -49, -191
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\FIREBASE_INDEX_SETUP.md", "Markdown", 0, 49, 0, 0, 0, 0, 14, 63
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\FIREBASE_RULES.md", "Markdown", 0, -209, 0, 0, 0, 0, -55, -264
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\PART3_IMPLEMENTATION.md", "Markdown", 0, -207, 0, 0, 0, 0, -54, -261
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\README.md", "Markdown", 0, 12, 0, 0, 0, 0, 76, 88
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\WEB_DEPLOYMENT.md", "Markdown", 0, -160, 0, 0, 0, 0, -52, -212
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\firestore.indexes.json", "JSON", 0, 0, 0, 56, 0, 0, 0, 56
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\firestore.rules", "Firebase Rules", 0, 0, 0, 0, 22, 28, 14, 64
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\install.ps1", "PowerShell", 35, 0, 0, 0, 0, 3, 10, 48
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\screens\today_screen.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\habit_card.dart", "Dart", 0, 0, -9, 0, 0, 0, 0, -9
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\presentation\screens\social_screen.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\run.ps1", "PowerShell", 34, 0, 0, 0, 0, 5, 7, 46
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\wifi-connect.ps1", "PowerShell", 44, 0, 0, 0, 0, 7, 13, 64
"Total", "-", 113, -948, -7, 56, 22, 43, -175, -896
