"filename", "language", "Dart", "Firebase Rules", "YAML", "comment", "blank", "total"
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\analysis_options.yaml", "YAML", 0, 0, 0, -4, 0, -4
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\firestore.rules", "Firebase Rules", 0, 6, 0, 8, 0, 14
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\routing\app_router.dart", "Dart", 14, 0, 0, 0, 1, 15
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\initial_sync_service.dart", "Dart", -4, 0, 0, 2, -4, -6
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\data\datasources\auth_remote_datasource.dart", "Dart", 14, 0, 0, 3, -1, 16
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\data\repositories\auth_repository_impl.dart", "Dart", 19, 0, 0, 0, 1, 20
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\domain\repositories\auth_repository.dart", "Dart", 6, 0, 0, 2, 1, 9
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\providers\username_check_provider.dart", "Dart", 16, 0, 0, 3, 4, 23
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\sign_in_screen.dart", "Dart", 11, 0, 0, 2, 0, 13
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\sign_up_screen.dart", "Dart", 11, 0, 0, 2, 0, 13
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\splash_screen.dart", "Dart", 11, 0, 0, 2, 0, 13
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\username_selection_screen.dart", "Dart", 230, 0, 0, 12, 38, 280
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\screens\habit_timer_screen.dart", "Dart", 2, 0, 0, 0, -1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\screens\today_screen.dart", "Dart", 29, 0, 0, 4, 6, 39
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\detailed_checkin_sheet.dart", "Dart", 47, 0, 0, 1, 1, 49
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\edit_log_sheet.dart", "Dart", 2, 0, 0, 0, 0, 2
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\skip_reason_sheet.dart", "Dart", 15, 0, 0, 0, 0, 15
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\data\models\habit_activity_model.dart", "Dart", 85, 0, 0, 1, 7, 93
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\data\models\shared_habit_model.dart", "Dart", 9, 0, 0, 1, 1, 11
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\data\repositories\habit_activity_repository_impl.dart", "Dart", 171, 0, 0, 15, 32, 218
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\data\repositories\shared_habit_repository_impl.dart", "Dart", 14, 0, 0, 3, 2, 19
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\domain\entities\habit_activity.dart", "Dart", 30, 0, 0, 1, 2, 33
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\domain\repositories\habit_activity_repository.dart", "Dart", 19, 0, 0, 5, 6, 30
"Total", "-", 751, 6, 0, 63, 96, 916
