"filename", "language", "Python", "Dart", "JSON", "HTML", "Markdown", "Firebase Rules", "YAML", "Properties", "Gradle", "XML", "comment", "blank", "total"
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\.claude\settings.local.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\ANALYSIS_REPORT.md", "Markdown", 0, 0, 0, 0, 1065, 0, 0, 0, 0, 0, 0, 214, 1279
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\ANALYSIS_REPORT_APPENDIX.md", "Markdown", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 13, 47
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\FIREBASE_INDEX_SETUP.md", "Markdown", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 14, 63
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\README.md", "Markdown", 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 129, 337
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\SECURITY.md", "Markdown", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 14, 49
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 23, 5, 160
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 13, 88
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\google-services.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 6, 5, 46
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\res\drawable\app_icon.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 1, 12
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\firebase.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\firestore.indexes.json", "JSON", 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 264
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\firestore.rules", "Firebase Rules", 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 157, 64, 395
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\l10n.yaml", "YAML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\constants\app_constants.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 62
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\constants\firebase_constants.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 72
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\errors\exceptions.dart", "Dart", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 56, 39, 223
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\errors\failures.dart", "Dart", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 45, 33, 157
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\network\connectivity_service.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 69
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\network\network_info.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 31
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\routing\app_router.dart", "Dart", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 106
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\advanced_statistics_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\connectivity_service.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 58
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\export_import_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\initial_sync_service.dart", "Dart", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26, 130
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\notification_service.dart", "Dart", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 11, 24, 154
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\push_notification_service.dart", "Dart", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 16, 23, 109
